Scientific name	Lat	Lng	Date	Id	Geoprivacy	Quality grade
Cryptocarya alba	-33.579007	-70.37841	2022-10-20	139633195	open	research
Strymon bicolor	-33.579007	-70.37841	2022-10-20	139633139	None	research
Leucocoryne ixioides	-33.578435	-70.377037	2022-10-20	139633048	None	research
Magnoliopsida	-33.578435	-70.377037	2022-10-20	139632977	open	needs_id
Strymon bicolor	-33.579651	-70.379269	2022-10-20	139632842	None	research
Liolaemus fuscus	-33.579723	-70.380041	2022-10-20	139632739	open	research
Phacelia	-33.579151	-70.380642	2022-10-20	139632664	None	needs_id
Oxalis arenaria	-33.580152	-70.382959	2022-10-20	139632578	None	research
Leucheria	-33.580152	-70.382959	2022-10-20	139632415	None	needs_id
Loasa triloba	-33.579723	-70.385191	2022-10-20	139632219	None	research
Alonsoa meridionalis	-33.580152	-70.38871	2022-10-20	139632155	None	research
Podanthus mitiqui	-33.579763	-70.392778	2022-10-20	139632049	None	research
Passeriformes	-33.579906	-70.396125	2022-10-20	139631877	open	needs_id
Glandularia	-33.580049	-70.39591	2022-10-20	139631570	None	needs_id
Vanessa terpsichore	-33.5657	-70.3971	2021-11-29	138402438	None	research
Alstroemeria ligtu	-33.5657	-70.3971	2021-11-29	138402437	None	needs_id
Troglodytes aedon	-33.5657	-70.3971	2021-11-29	138402436	open	research
Maytenus boaria	-33.58176167	-70.39451667	2022-10-08	138400431	open	research
Calceolaria	-33.5657	-70.3971	2021-11-29	138395756	None	needs_id
Leptoglossus chilensis	-33.5657	-70.3971	2021-11-29	138395755	None	research
Nyctopetus	-33.5657	-70.3971	2021-11-29	138395754	None	needs_id
Liolaemus tenuis	-33.5657	-70.3971	2021-11-29	138395749	None	research
Buprestinae	-33.5657	-70.3971	2021-11-29	138395747	None	needs_id
Bothriuridae	-33.5657	-70.3971	2021-11-29	138395741	None	needs_id
Platyaspistes	-33.57576134	-70.39855336	2021-11-29	138395740	None	needs_id
Platyaspistes	-33.57577073	-70.39853767	2021-11-29	138395739	None	needs_id
Eumeninae	-33.57990607	-70.39512126	2021-11-29	138395738	None	needs_id
Calceolaria	-33.57380588	-70.39827355	2021-11-29	138395737	None	needs_id
Ectinogonia buquetii	-33.57351857	-70.39830574	2021-11-29	138395736	None	research
Epiclines gayi	-33.58181111	-70.39451389	2022-10-08	138325501	None	needs_id
Liolaemus tenuis	-33.57793975	-70.39332761	2022-10-08	138261824	None	research
Liolaemus tenuis	-33.57639247	-70.39476857	2022-10-08	138261231	None	research
Asteraceae	-33.57728611	-70.39293611	2022-10-08	138176507	None	needs_id
Cupressus	-33.58049801	-70.39643462	2022-10-08	138054731	None	needs_id
Solanum furcatum	-33.58184167	-70.39470278	2022-10-08	138028459	None	research
Angiospermae	-33.58188333	-70.39478056	2022-10-08	138028318	None	needs_id
Ectinogonia buquetii	-33.58169167	-70.39484722	2022-10-08	138027810	None	research
Tropaeolum tricolor	-33.57746667	-70.3934	2022-10-08	138003667	None	research
Adiantum chilense	-33.57800278	-70.39376389	2022-10-08	138001848	None	research
Calceolaria corymbosa	-33.58168333	-70.39486111	2022-10-08	137998841	None	research
Plantae	-33.58150429	-70.39504943	2022-10-08	137997742	None	needs_id
Stellaria chilensis	-33.5806445	-70.39640223	2022-10-08	137997605	None	research
Aristotelia chilensis	-33.58183083	-70.39449702	2022-10-08	137994022	None	research
Maytenus boaria	-33.58187472	-70.39453436	2022-10-08	137993876	open	research
Plantae	-33.58197222	-70.39510278	2022-10-08	137993567	None	needs_id
Tropaeolum tricolor	-33.58175278	-70.39458056	2022-10-08	137993327	None	research
Quillaja saponaria	-33.58206716	-70.39498753	2022-10-08	137992212	open	research
Solanum crispum	-33.58205622	-70.39496326	2022-10-08	137991881	None	research
Eschscholzia californica	-33.58226462	-70.39472778	2022-10-08	137991845	None	research
Baccharis linearis	-33.58225269	-70.39475277	2022-10-08	137991791	None	research
Lithraea caustica	-33.58240659	-70.39463709	2022-10-08	137991735	open	research
Solanum crispum	-33.58182871	-70.39457482	2022-10-08	137991367	None	research
Eccremocarpus scaber	-33.58204633	-70.3946352	2022-10-08	137990965	None	research
Quillaja saponaria	-33.58236309	-70.39462907	2022-10-08	137989563	open	research
Eschscholzia californica	-33.58247873	-70.39450244	2022-10-08	137989020	None	research
Stellaria chilensis	-33.580608	-70.39640687	2021-10-16	137985377	None	research
Adiantum chilense sulphureum	-33.57746	-70.3931101	2021-10-16	137985005	None	research
Solanum crispum	-33.58215621	-70.39337708	2022-10-04	137974066	None	research
Viola subandina	-33.57661327	-70.39524165	2022-09-19	137018845	None	research
Olsynium scirpoideum	-33.57716114	-70.39563939	2022-09-10	137018549	None	research
Podanthus mitiqui	-33.57693455	-70.39548285	2022-09-10	137018354	None	research
Alstroemeria ligtu	-33.56262601	-70.39616618	2021-11-06	137018095	None	research
Oxalis	-33.57864742	-70.39120261	2022-09-10	137018013	None	needs_id
Blechnum hastatum	-33.57736597	-70.39268133	2022-09-10	137017887	None	research
Pasithea caerulea	-33.5796511	-70.38933285	2020-10-09	136978272	None	research
Tropaeolum tricolor	-33.58039532	-70.38820161	2020-10-09	136977849	None	research
Porlieria chilensis	-33.58749464	-70.37200787	2022-06-11	135925939	None	research
Astylus trifasciatus	-33.59424722	-70.38143056	2022-09-10	134842470	None	research
Cistanthe grandiflora	-33.57865556	-70.37706667	2022-09-10	134841816	None	needs_id
Trevoa quinquenervia	-33.56147778	-70.31890833	2022-09-10	134840757	None	research
Felidae	-33.56350833	-70.36608056	2022-09-10	134840756	None	needs_id
Liolaemus tenuis	-33.5546016	-70.39824467	2020-12-20	129277919	None	research
Ormiscodes	-33.5769	-70.3919	2022-07-03	125800473	None	needs_id
Agaricomycetes	-33.5769	-70.3919	2022-07-03	125800471	None	needs_id
Haplopappus	-33.57832167	-70.38266167	2022-07-02	125495994	None	needs_id
Blumenbachia silvestris	-33.57833833	-70.3823	2022-07-02	125495709	None	needs_id
Haplopappus humilis	-33.5521094	-70.39983557	2022-02-02	123632755	None	needs_id
Escallonia pulverulenta	-33.56900333	-70.39718667	2021-12-06	113177844	open	research
Trydarssus nobilitatus	-33.5769	-70.3919	2021-11-28	106814500	None	research
Brachystele unilateralis	-33.552105	-70.39939167	2022-02-01	106243486	None	research
Escallonia illinita	-33.56924167	-70.40017	2022-02-02	106218902	None	research
Gochnatia foliolosa	-33.55291667	-70.398955	2022-02-02	106217424	None	research
Pseudognaphalium	-33.55296333	-70.39900333	2022-02-02	106217334	None	needs_id
Gochnatia foliolosa	-33.552825	-70.39917833	2022-02-02	106217211	None	research
Haplopappus	-33.55234167	-70.399475	2022-02-02	106217179	None	needs_id
Liolaemus monticola	-33.55278833	-70.399125	2022-02-02	106216871	open	research
Liolaemus monticola	-33.55268	-70.39914667	2022-02-02	106216792	open	research
Zephyranthes advena	-33.55291667	-70.39839167	2022-02-02	106216788	None	research
Colliguaja salicifolia	-33.553375	-70.398895	2022-02-02	106216756	None	needs_id
Mutisia	-33.55272833	-70.399025	2022-02-04	106193904	None	needs_id
Leucheria	-33.55253833	-70.39875833	2022-02-04	106193860	None	needs_id
Alstroemeria revoluta	-33.57436333	-70.39876667	2022-01-11	104810946	None	research
Mutisia subulata	-33.580155	-70.39673667	2022-01-11	104810932	None	needs_id
Cryptocarya alba	-33.55849939	-70.39698303	2020-12-20	104466750	open	research
Erythranthe lutea	-33.57331916	-70.40068298	2020-12-26	103763466	None	research
Gunnera tinctoria	-33.57340855	-70.40064006	2020-12-26	103763465	None	research
Liolaemus tenuis	-33.57351582	-70.40059715	2020-12-26	103763464	None	research
Liolaemus tenuis	-33.57353106	-70.40064006	2020-12-26	103763463	None	research
Alstroemeria ligtu simsii	-33.5518862	-70.39961848	2021-11-26	103059356	None	research
Polistes buyssoni	-33.55733826	-70.39775292	2020-12-20	101318168	None	research
Alstroemeria ligtu simsii	-33.57977833	-70.39716333	2021-11-14	101166689	None	research
Cicadellidae	-33.57701333	-70.398125	2021-11-14	101166613	None	needs_id
Hippeastreae	-33.58022833	-70.39682	2021-11-14	101166523	None	needs_id
Halictinae	-33.57502	-70.39873667	2021-11-14	101166268	None	needs_id
Calendyma chiliensis	-33.57451167	-70.39868	2021-11-14	101166208	None	research
Liolaemus monticola	-33.56576167	-70.3963	2021-11-14	101166158	open	research
Chaetanthera multicaulis	-33.560895	-70.39663667	2021-11-14	101166104	None	research
Liolaemus lemniscatus	-33.57370333	-70.40031333	2021-11-14	101166038	None	research
Malamblia melas	-33.55587771	-70.3981601	2020-12-20	100998149	None	research
Solanum furcatum	-33.5598793	-70.38576508	2021-11-12	100956481	None	research
Hippeastreae	-33.57899494	-70.39484079	2021-11-07	100531184	None	needs_id
Leucocoryne ixioides	-33.57877136	-70.39445353	2021-11-07	100531084	None	research
Calceolaria corymbosa	-33.58088667	-70.39640833	2021-10-20	100015284	None	research
Callopistes maculatus	-33.55298667	-70.397775	2021-10-21	99951275	None	research
Leucheria	-33.55289667	-70.39785	2021-10-21	99951112	None	needs_id
Bryobia	-33.55315333	-70.397955	2021-10-22	99951023	None	needs_id
Insecta	-33.55297167	-70.39784167	2021-10-22	99951001	None	needs_id
Leucocoryne ixioides	-33.57681333	-70.3982	2021-10-20	99950949	None	research
Alonsoa meridionalis	-33.57691167	-70.3982	2021-10-20	99950886	None	research
Solenomelus pedunculatus	-33.57708333	-70.39811667	2021-10-20	99950848	None	research
Stachys grandidentata	-33.57664167	-70.3982	2021-10-20	99950755	None	research
Pasithea caerulea	-33.55723833	-70.39759667	2021-10-20	99949311	None	research
Ormiscodes	-33.56376667	-70.396155	2021-10-31	99949203	None	needs_id
Triptiloides randallae	-33.5778	-70.3847	2021-10-24	99354847	None	research
Calceolaria corymbosa	-33.580115	-70.393506	2021-10-24	99354842	None	research
Stachys grandidentata	-33.577025	-70.398225	2021-10-24	99347161	None	research
Leucocoryne ixioides	-33.577025	-70.39820833	2021-10-24	99347158	None	needs_id
Calceolaria corymbosa	-33.58083333	-70.39646111	2021-10-24	99347156	None	research
Cestrum parqui	-33.57234297	-70.39821297	2021-10-16	98665553	open	research
