Scientific name,Lat,Lng,Date,Id,Geoprivacy,Quality grade
Mutisia subulata subulata,-33.55174431,-70.40020286,2022-02-02,123632956,None,research
Tetraglochin alata,-33.5506671,-70.39936412,2022-02-03,123632897,None,research
Calceolaria thyrsiflora,-33.5506139,-70.39941178,2022-02-03,123632796,None,research
Eryngium paniculatum,-33.55011179,-70.3996639,2022-02-03,123632763,None,research
Azorella prolifera,-33.55174023,-70.39979265,2022-02-03,123632761,None,research
Alstroemeria revoluta,-33.55161506,-70.40015743,2022-02-02,123632759,None,research
Escallonia pulverulenta,-33.55154186,-70.40070604,2022-02-02,123632742,open,research
Gochnatia foliolosa,-33.5514748,-70.40066581,2022-02-02,123632738,None,research
Scyphanthus elegans,-33.53784029,-70.4029404,2020-12-08,121690607,None,research
Bagrada hilaris,-33.57671278,-70.3566552,2022-05-21,118093923,None,research
Escallonia pulverulenta,-33.56900333,-70.39718667,2021-12-06,113177844,open,research
Crataegus monogyna,-33.58642008,-70.39221788,2022-04-02,110194901,open,research
Crataegus monogyna,-33.58645,-70.39216944,2022-04-02,110194808,open,research
Kageneckia oblonga,-33.55621667,-70.40132833,2022-02-27,107718018,open,research
Kageneckia oblonga,-33.551495,-70.39929167,2022-02-27,107718002,open,research
Mutisia subulata,-33.5393491,-70.4030793,2022-02-03,106926267,None,research
Trydarssus nobilitatus,-33.5769,-70.3919,2021-11-28,106814500,None,research
Brachystele unilateralis,-33.552105,-70.39939167,2022-02-01,106243486,None,research
Escallonia illinita,-33.56924167,-70.40017,2022-02-02,106218902,None,research
Gochnatia foliolosa,-33.55291667,-70.398955,2022-02-02,106217424,None,research
Gochnatia foliolosa,-33.552825,-70.39917833,2022-02-02,106217211,None,research
Mutisia subulata subulata,-33.55166667,-70.40023,2022-02-02,106217069,None,research
Teucrium bicolor,-33.55154667,-70.40022167,2022-02-02,106217026,None,research
Alstroemeria revoluta,-33.55154667,-70.4002,2022-02-02,106217009,None,research
Gochnatia foliolosa,-33.55160333,-70.40036167,2022-02-02,106216966,None,research
Liolaemus monticola,-33.55278833,-70.399125,2022-02-02,106216871,open,research
Liolaemus monticola,-33.55268,-70.39914667,2022-02-02,106216792,open,research
Zephyranthes advena,-33.55291667,-70.39839167,2022-02-02,106216788,None,research
Calceolaria thyrsiflora,-33.55128,-70.39920833,2022-02-03,106216702,None,research
Quinchamalium chilense,-33.55136167,-70.39884167,2022-02-03,106216614,None,research
Adiantum chilense sulphureum,-33.55012167,-70.39862,2022-02-03,106216562,None,research
Quinchamalium chilense,-33.54985,-70.39859667,2022-02-03,106216524,None,research
Zephyranthes advena,-33.54991667,-70.39849667,2022-02-03,106216504,None,research
Tweedia birostrata,-33.54968833,-70.39840833,2022-02-03,106216497,None,research
Ephedra chilensis,-33.54903333,-70.398995,2022-02-03,106216448,open,research
Colletia hystrix,-33.54828333,-70.40022167,2022-02-03,106193934,None,research
Loasa triloba,-33.57973056,-70.40670833,2019-10-06,105926102,None,research
Lasiurus cinereus villosissimus,-33.58177944,-70.40159263,2022-01-13,104934271,open,research
Alstroemeria revoluta,-33.57436333,-70.39876667,2022-01-11,104810946,None,research
Mitrodetus dentitarsis,-33.52881095,-70.40343691,2021-11-23,104640138,None,research
Austroscaeva melanostoma,-33.53208519,-70.40200651,2021-11-23,104618292,None,research
Leucocoryne ixioides,-33.53448243,-70.40059394,2021-11-22,104617837,None,research
Stachys grandidentata,-33.53358766,-70.40262879,2021-11-16,104616336,None,research
Stenoparedra,-33.53378347,-70.40202071,2021-12-08,104584685,None,research
Hylodanacaea ruficollis,-33.53445757,-70.40124757,2021-11-24,104583413,None,research
Exechohypopion leucomallum,-33.53530864,-70.39758457,2021-12-10,104583218,None,research
Harpactostigma velutinum,-33.53445011,-70.39895786,2021-12-10,104582924,None,research
Stenoparedra,-33.53330539,-70.40307773,2021-06-03,104582838,None,research
Arthrobrachus nigromaculatus,-33.53788417,-70.40033115,2021-12-10,104574316,None,research
Liolaemus tenuis,-33.53473628,-70.40376438,2021-06-03,104574237,None,research
Austroscaeva melanostoma,-33.5378489,-70.4029403,2021-11-24,104572553,None,research
Centris nigerrima,-33.5378489,-70.4029403,2021-06-02,104466770,None,research
Cryptocarya alba,-33.55849939,-70.39698303,2020-12-20,104466750,open,research
Coleopterodes liliputianum,-33.5378489,-70.4029403,2021-06-03,104466465,None,research
Anthrax inordinatus,-33.5378489,-70.4029403,2021-06-03,104460840,None,research
